campaign_id,date,channel,campaign_name,spend,impressions,clicks,conversions,revenue
CMP0175,06/05/2024,Facebook Ads,Diwali Offer,10181.57,84460,747,9,21270.12
CMP0176,01/26/2024,LinkedIn Ads,New Launch,10142.8,187595,1532,79,6126.71
CMP0177,20/05/2024,facebook ads,Flash Sale,14394.46,53402,2928,31,25064.13
CMP0178,2024-07-25,Google Ads,New Launch,13103.37,124093,2736,119,
CMP0179,21/01/2024,instagram,Retargeting,10564.0,12482,2058,63,2334.84
CMP0180,2024-06-12,Google Ads,Diwali Offer,11431.94,,2715,146,18060.47
CMP0181,23/07/2024,Google Ads,Flash Sale,2076.47,32108,2040,112,8676.43
CMP0182,05/09/2024,Facebook Ads,Flash Sale,-200,120630,-5,137,36974.77
CMP0183,25/05/2024,facebook ads,Brand Awareness,12604.38,98640,2180,65,3411.56
CMP0184,25/03/2024,Google Ads,Diwali Offer,11825.85,109942,1582,131,15396.06
CMP0185,10/05/2024,Google Ads,Summer Sale,,115774,2926,34,2632.7
CMP0186,2024-06-28,LinkedIn Ads,Brand Awareness,9915.53,183700,245,54,1979.95
CMP0187,2024-07-13,instagram,Brand Awareness,9200.02,122079,2246,9,199.74
CMP0188,23/03/2024,google ads,New Launch,3844.59,93701,2667,134,12057.01
CMP0189,2024-07-20,instagram,Brand Awareness,669.94,182222,1601,,6687.07
CMP0190,03/26/2024,email,New Launch,4523.77,43822,1972,47,896.98
CMP0191,2024-05-03,Email,Flash Sale,3660.82,197988,-5,123,21268.72
CMP0192,01/04/2024,Instagram,Retargeting,,,371,111,38119.32
CMP0193,06/09/2024,email,Retargeting,3048.75,177525,-5,39,20701.84
CMP0194,25/07/2024,Instagram,Summer Sale,9620.43,182530,1879,145,6894.4
CMP0195,30/05/2024,LinkedIn Ads,Diwali Offer,10749.64,148537,243,35,
CMP0196,05/24/2024,Facebook Ads,New Launch,7689.35,52403,917,39,14327.6
CMP0197,2024-04-13,Facebook Ads,Diwali Offer,11947.32,,1040,141,16081.32
CMP0198,2024-03-22,facebook ads,Flash Sale,7138.11,5573,1572,,21658.29
CMP0199,15/02/2024,Instagram,Flash Sale,,88502,1903,46,19833.71
CMP0200,23/03/2024,Facebook Ads,Brand Awareness,,66968,1429,93,6504.78
CMP0201,19/06/2024,instagram,New Launch,14114.68,,1630,28,13176.96
CMP0202,2024-03-25,Facebook Ads,Diwali Offer,9491.18,194238,1328,93,3261.99
CMP0203,2024-01-09,LinkedIn Ads,Brand Awareness,11946.07,134403,156,129,12617.09
CMP0204,04/15/2024,instagram,New Launch,12392.56,190582,1637,86,23319.12
CMP0205,05/07/2024,Facebook Ads,Brand Awareness,660.42,67706,652,52,8857.07
CMP0206,01/16/2024,google ads,Summer Sale,,3023,1981,119,8081.61
CMP0207,2024-05-11,email,Flash Sale,625.65,112549,2992,81,11101.08
CMP0208,28/05/2024,instagram,Flash Sale,6271.31,68649,1748,27,14864.95
CMP0209,28/05/2024,Google Ads,Diwali Offer,,3102,,45,25449.07
CMP0210,12/04/2024,Instagram,New Launch,8282.18,193956,1399,150,29027.67
CMP0211,04/08/2024,LinkedIn Ads,Diwali Offer,,141877,-5,,17095.6
CMP0212,2024-01-22,google ads,New Launch,10425.33,100852,2464,23,1127.11
CMP0213,03/30/2024,facebook ads,Retargeting,8767.0,110200,341,0,32221.74
CMP0214,2024-05-09,Email,Diwali Offer,6932.17,,,107,
CMP0215,13/08/2024,Google Ads,New Launch,-200,64449,1009,9,12928.13
CMP0216,03/05/2024,google ads,Summer Sale,9035.27,183069,2746,52,19851.61
CMP0217,27/04/2024,Facebook Ads,Retargeting,,126964,2577,13,608.7
CMP0218,11/08/2024,google ads,Retargeting,-200,166909,2015,4,1380.06
CMP0219,05/09/2024,facebook ads,Summer Sale,,148336,2987,96,33911.69
CMP0220,2024-01-13,Facebook Ads,Retargeting,9670.1,23843,635,75,27019.69
CMP0221,05/10/2024,Instagram,Diwali Offer,9150.78,41314,1123,142,573.9
CMP0222,01/30/2024,instagram,Diwali Offer,5706.4,155085,272,55,26848.39
CMP0223,02/08/2024,email,Retargeting,12154.25,38589,,71,17587.92
CMP0224,2024-01-02,email,Flash Sale,2703.92,7437,1240,35,25795.15
CMP0225,13/06/2024,Instagram,Brand Awareness,,,1541,97,31610.02
CMP0226,02/21/2024,email,Flash Sale,10128.84,63019,1534,3,23822.81
CMP0227,05/15/2024,Instagram,Diwali Offer,13371.6,116530,2478,26,8275.33
CMP0228,2024-02-05,email,Diwali Offer,4988.41,171453,1497,150,6884.5
CMP0229,02/16/2024,Google Ads,Diwali Offer,932.99,164205,1720,98,32142.89
CMP0230,2024-03-17,email,Diwali Offer,5635.64,24421,970,61,12175.97
CMP0231,03/21/2024,google ads,Brand Awareness,790.89,75003,418,145,28193.74
CMP0232,2024-02-27,google ads,Flash Sale,10177.43,162744,1578,123,35321.78
CMP0233,09/06/2024,facebook ads,Summer Sale,1056.98,196989,495,75,36959.83
CMP0234,2024-01-12,email,Summer Sale,2055.3,86666,2986,87,6201.25
CMP0235,2024-05-16,LinkedIn Ads,Diwali Offer,4646.43,75907,1398,99,24993.76
CMP0236,03/09/2024,email,New Launch,8607.85,106573,-5,139,17604.73
CMP0237,09/05/2024,facebook ads,Flash Sale,7638.3,152374,2381,55,5055.63
CMP0238,2024-07-01,LinkedIn Ads,Diwali Offer,8587.43,182649,133,74,
CMP0239,03/06/2024,google ads,Brand Awareness,10758.1,87734,2745,16,14265.67
CMP0240,27/06/2024,facebook ads,Summer Sale,3600.5,146506,2034,65,35846.88
CMP0241,2024-07-28,instagram,Brand Awareness,6448.38,190545,,67,37559.15
CMP0242,01/05/2024,Email,Flash Sale,8962.2,50257,2457,56,32571.77
CMP0243,12/07/2024,LinkedIn Ads,Diwali Offer,1691.45,25364,,97,25311.38
CMP0244,07/06/2024,LinkedIn Ads,Retargeting,10545.6,30033,1693,,1040.47
CMP0245,2024-08-20,Facebook Ads,Flash Sale,1990.64,179478,2588,114,498.13
CMP0246,2024-02-11,facebook ads,Diwali Offer,7388.26,,-5,9,28952.71
CMP0247,2024-06-17,Google Ads,New Launch,4645.86,14399,2640,138,22004.99
CMP0248,09/02/2024,google ads,Retargeting,2595.47,94796,921,56,39310.22
CMP0249,01/23/2024,Instagram,Summer Sale,13014.03,53686,2647,39,
CMP0250,05/08/2024,facebook ads,Brand Awareness,6503.95,15513,261,,15707.86
CMP0251,18/06/2024,email,Brand Awareness,2297.96,169884,-5,145,33296.48
CMP0252,2024-03-02,instagram,Brand Awareness,4324.12,126645,,87,28927.34
CMP0253,06/07/2024,instagram,Diwali Offer,7949.34,110481,1146,142,31444.34
CMP0254,22/02/2024,Instagram,Brand Awareness,13402.25,101724,870,12,21466.96
CMP0255,07/14/2024,instagram,Summer Sale,8194.67,76595,1846,119,
CMP0256,2024-07-29,Google Ads,New Launch,14073.73,13746,2990,145,12478.62
CMP0257,08/18/2024,facebook ads,Summer Sale,6890.94,21204,1765,,7347.11
CMP0258,09/04/2024,google ads,Flash Sale,7856.76,66222,102,86,14241.72
CMP0259,01/07/2024,email,Diwali Offer,5029.59,93429,,,22669.85
CMP0260,2024-03-11,google ads,Flash Sale,7693.82,167124,676,66,
CMP0261,2024-04-08,Instagram,Retargeting,11115.97,9058,1331,108,33700.96
CMP0262,2024-07-27,google ads,Retargeting,9788.42,191916,1837,14,24958.81
CMP0263,05/07/2024,Email,Diwali Offer,,137579,2437,21,2448.64
CMP0264,2024-01-04,facebook ads,New Launch,,7574,-5,,5376.26
CMP0265,29/01/2024,email,Brand Awareness,8345.98,,1600,29,32844.97
CMP0266,22/08/2024,Email,Retargeting,13452.06,77370,1343,141,38503.15
CMP0267,2024-05-18,Email,Retargeting,-200,112830,99,,25572.45
CMP0268,16/06/2024,email,Brand Awareness,11347.32,189673,757,139,7983.9
CMP0269,01/06/2024,email,Flash Sale,13765.29,75622,1563,90,18625.56
CMP0270,06/14/2024,LinkedIn Ads,Retargeting,6706.68,90780,1627,137,31433.1
CMP0271,22/08/2024,LinkedIn Ads,Diwali Offer,6856.45,185850,1812,77,12078.03
CMP0272,2024-01-02,Google Ads,Flash Sale,8606.79,61503,1915,3,
CMP0273,01/02/2024,facebook ads,Brand Awareness,10743.97,175436,456,121,4919.25
CMP0274,2024-05-22,LinkedIn Ads,Diwali Offer,10068.79,59097,-5,135,21810.85
CMP0275,2024-06-09,Instagram,New Launch,4693.43,133798,1832,,10567.43
CMP0276,2024-06-28,LinkedIn Ads,Summer Sale,2260.88,190563,1605,49,4521.55
CMP0277,04/28/2024,google ads,New Launch,-200,22328,2624,87,37912.5
CMP0278,2024-04-04,LinkedIn Ads,Diwali Offer,2514.98,66874,,65,1808.9
CMP0279,05/01/2024,Google Ads,Brand Awareness,11315.66,73254,2196,126,3732.29
CMP0280,28/02/2024,LinkedIn Ads,Retargeting,2241.12,126761,-5,74,34049.14
CMP0281,22/01/2024,LinkedIn Ads,Flash Sale,8494.68,92549,1598,107,
CMP0282,2024-01-02,Instagram,Diwali Offer,1444.81,126219,2108,112,
CMP0283,08/05/2024,Email,Brand Awareness,12389.17,35318,,35,16076.94
CMP0284,27/02/2024,facebook ads,Summer Sale,9684.35,66824,2463,61,10533.55
CMP0285,2024-05-25,google ads,Flash Sale,,121606,,50,
CMP0286,2024-04-05,instagram,Flash Sale,12174.7,6665,1017,65,8750.02
CMP0287,05/04/2024,Google Ads,New Launch,10344.02,61453,582,30,28288.91
CMP0288,12/08/2024,email,Flash Sale,13163.96,48442,21,61,16530.53
CMP0289,07/08/2024,Facebook Ads,Summer Sale,14210.73,176894,1599,46,38098.99
CMP0290,07/01/2024,Instagram,Diwali Offer,10992.78,169050,2856,101,34080.15
CMP0291,28/06/2024,google ads,Flash Sale,-200,81457,276,30,18009.36
CMP0292,08/21/2024,facebook ads,Brand Awareness,11549.65,174731,2616,2,34641.62
CMP0293,07/29/2024,Email,Brand Awareness,537.19,108535,2153,83,12435.26
CMP0294,01/20/2024,Email,Retargeting,,94787,1023,97,38928.01
CMP0295,08/02/2024,google ads,New Launch,,124739,2451,84,32100.15
CMP0296,08/16/2024,facebook ads,Flash Sale,4084.66,189133,2239,21,11215.45
CMP0297,2024-01-11,Email,Brand Awareness,,68069,2715,,26182.69
CMP0298,01/08/2024,email,Brand Awareness,11540.68,121100,125,125,
CMP0299,06/05/2024,Google Ads,Retargeting,-200,176739,2326,100,36246.3
CMP0300,08/05/2024,instagram,Summer Sale,10282.97,73174,-5,98,
CMP0301,2024-02-28,Facebook Ads,New Launch,7275.07,48029,2333,,7201.15
CMP0302,2024-02-26,facebook ads,Flash Sale,1939.92,98307,230,,
CMP0303,18/04/2024,Facebook Ads,Flash Sale,6129.04,134721,1429,67,19156.75
CMP0304,06/02/2024,instagram,Brand Awareness,5946.2,86322,-5,97,22120.58
CMP0305,2024-04-12,Email,Diwali Offer,,4470,116,139,10756.89
CMP0306,2024-06-16,Google Ads,Retargeting,7783.57,87810,-5,8,36430.15
CMP0307,2024-01-05,Email,Summer Sale,10476.32,92563,1652,12,38227.12
CMP0308,2024-01-05,LinkedIn Ads,Flash Sale,856.65,187951,255,141,21287.79
CMP0309,08/16/2024,google ads,Diwali Offer,,7746,1798,142,
CMP0310,02/24/2024,Instagram,Summer Sale,5848.88,159428,,48,13521.45
CMP0311,04/11/2024,google ads,Summer Sale,11665.4,22661,1723,84,11195.05
CMP0312,2024-01-11,Google Ads,Summer Sale,5778.43,5892,1711,124,6752.32
CMP0313,05/04/2024,google ads,New Launch,12550.82,107434,,,3772.87
CMP0314,24/02/2024,Email,Retargeting,6484.85,24669,577,112,5999.68
CMP0315,2024-07-11,instagram,Summer Sale,11907.69,150884,2488,145,30705.75
CMP0316,06/20/2024,instagram,Diwali Offer,14621.49,189662,2380,141,32771.73
CMP0317,29/03/2024,facebook ads,Flash Sale,7039.93,137814,1997,77,24192.81
CMP0318,2024-03-20,email,New Launch,5798.98,6405,2009,71,568.63
CMP0319,04/03/2024,google ads,Summer Sale,3601.12,4436,2605,123,3623.17
CMP0320,19/06/2024,instagram,Brand Awareness,11104.51,112779,2168,102,36363.07
CMP0033,2024-04-15,google ads,Brand Awareness,8545.46,63880,,45,26874.72
CMP0223,02/08/2024,email,Retargeting,12154.25,38589,,71,17587.92
CMP0299,06/05/2024,Google Ads,Retargeting,-200,176739,2326,100,36246.3
CMP0058,2024-03-28,Google Ads,Diwali Offer,10552.94,46481,182,141,5127.3
CMP0297,2024-01-11,Email,Brand Awareness,,68069,2715,,26182.69
CMP0226,02/21/2024,email,Flash Sale,10128.84,63019,1534,3,23822.81
CMP0204,04/15/2024,instagram,New Launch,12392.56,190582,1637,86,23319.12
CMP0012,03/08/2024,instagram,Flash Sale,-200,107327,1734,35,3793.57
CMP0278,2024-04-04,LinkedIn Ads,Diwali Offer,2514.98,66874,,65,1808.9
CMP0164,08/24/2024,Facebook Ads,Flash Sale,11464.13,13809,2108,96,34227.63
CMP0170,2024-03-06,Instagram,Diwali Offer,14782.28,120534,2242,113,
CMP0127,2024-07-14,instagram,Brand Awareness,13733.19,177923,2604,119,
CMP0182,05/09/2024,Facebook Ads,Flash Sale,-200,120630,-5,137,36974.77
CMP0280,28/02/2024,LinkedIn Ads,Retargeting,2241.12,126761,-5,74,34049.14
CMP0237,09/05/2024,facebook ads,Flash Sale,7638.3,152374,2381,55,5055.63
