campaign_id,channel,campaign_name,spend,impressions,clicks,conversions,revenue,date,month,ctr,conversion_rate,cac,roas
CMP0150,Instagram,Summer Sale,14241.83,185049.0,2434.0,11.0,10906.94,2024-01-20,2024-01,1.32,0.45,1294.71,0.77
CMP0152,Google Ads,Retargeting,5101.76,96900.0,536.0,30.0,14599.85,2024-03-10,2024-03,0.55,5.6,170.06,2.86
CMP0156,Google Ads,Summer Sale,5383.01,,1525.0,67.0,18636.3,2024-03-01,2024-03,,4.39,80.34,3.46
CMP0157,Email,Summer Sale,8992.91,25164.0,1081.0,110.0,1694.02,2024-05-27,2024-05,4.3,10.18,81.75,0.19
CMP0158,Email,Summer Sale,9865.55,66787.0,1080.0,27.0,0.0,2024-04-28,2024-04,1.62,2.5,365.39,0.0
CMP0160,Email,Brand Awareness,8394.47,187048.0,2547.0,94.0,14975.79,2024-01-31,2024-01,1.36,3.69,89.3,1.78
CMP0163,Facebook Ads,New Launch,2309.29,134819.0,866.0,145.0,3026.34,2024-04-28,2024-04,0.64,16.74,15.93,1.31
CMP0164,Facebook Ads,Flash Sale,11464.13,13809.0,2108.0,96.0,34227.63,2024-08-24,2024-08,15.27,4.55,119.42,2.99
CMP0166,Instagram,Summer Sale,13285.74,166386.0,1912.0,60.0,1818.67,2024-07-12,2024-07,1.15,3.14,221.43,0.14
CMP0167,Google Ads,Retargeting,3049.28,24930.0,2642.0,103.0,0.0,2024-02-28,2024-02,10.6,3.9,29.6,0.0
CMP0169,Google Ads,Retargeting,5410.2,141984.0,2295.0,3.0,37598.05,2024-08-31,2024-08,1.62,0.13,1803.4,6.95
CMP0170,Instagram,Diwali Offer,14782.28,120534.0,2242.0,113.0,0.0,2024-03-06,2024-03,1.86,5.04,130.82,0.0
CMP0173,Google Ads,Flash Sale,14485.98,133320.0,2425.0,128.0,11300.14,2024-09-07,2024-09,1.82,5.28,113.17,0.78
CMP0174,Facebook Ads,Brand Awareness,14524.16,184604.0,2422.0,54.0,32904.76,2024-05-09,2024-05,1.31,2.23,268.97,2.27
CMP0175,Facebook Ads,Diwali Offer,10181.57,84460.0,747.0,9.0,21270.12,2024-05-06,2024-05,0.88,1.2,1131.29,2.09
CMP0176,LinkedIn Ads,New Launch,10142.8,187595.0,1532.0,79.0,6126.71,2024-01-26,2024-01,0.82,5.16,128.39,0.6
CMP0177,Facebook Ads,Flash Sale,14394.46,53402.0,2928.0,31.0,25064.13,2024-05-20,2024-05,5.48,1.06,464.34,1.74
CMP0178,Google Ads,New Launch,13103.37,124093.0,2736.0,119.0,0.0,2024-07-25,2024-07,2.2,4.35,110.11,0.0
CMP0179,Instagram,Retargeting,10564.0,12482.0,2058.0,63.0,2334.84,2024-01-21,2024-01,16.49,3.06,167.68,0.22
CMP0180,Google Ads,Diwali Offer,11431.94,,2715.0,146.0,18060.47,2024-06-12,2024-06,,5.38,78.3,1.58
CMP0181,Google Ads,Flash Sale,2076.47,32108.0,2040.0,112.0,8676.43,2024-07-23,2024-07,6.35,5.49,18.54,4.18
CMP0183,Facebook Ads,Brand Awareness,12604.38,98640.0,2180.0,65.0,3411.56,2024-05-25,2024-05,2.21,2.98,193.91,0.27
CMP0184,Google Ads,Diwali Offer,11825.85,109942.0,1582.0,131.0,15396.06,2024-03-25,2024-03,1.44,8.28,90.27,1.3
CMP0186,LinkedIn Ads,Brand Awareness,9915.53,183700.0,245.0,54.0,1979.95,2024-06-28,2024-06,0.13,22.04,183.62,0.2
CMP0187,Instagram,Brand Awareness,9200.02,122079.0,2246.0,9.0,199.74,2024-07-13,2024-07,1.84,0.4,1022.22,0.02
CMP0188,Google Ads,New Launch,3844.59,93701.0,2667.0,134.0,12057.01,2024-03-23,2024-03,2.85,5.02,28.69,3.14
CMP0189,Instagram,Brand Awareness,669.94,182222.0,1601.0,0.0,6687.07,2024-07-20,2024-07,0.88,0.0,,9.98
CMP0190,Email,New Launch,4523.77,43822.0,1972.0,47.0,896.98,2024-03-26,2024-03,4.5,2.38,96.25,0.2
CMP0194,Instagram,Summer Sale,9620.43,182530.0,1879.0,145.0,6894.4,2024-07-25,2024-07,1.03,7.72,66.35,0.72
CMP0195,LinkedIn Ads,Diwali Offer,10749.64,148537.0,243.0,35.0,0.0,2024-05-30,2024-05,0.16,14.4,307.13,0.0
CMP0196,Facebook Ads,New Launch,7689.35,52403.0,917.0,39.0,14327.6,2024-05-24,2024-05,1.75,4.25,197.16,1.86
CMP0197,Facebook Ads,Diwali Offer,11947.32,,1040.0,141.0,16081.32,2024-04-13,2024-04,,13.56,84.73,1.35
CMP0198,Facebook Ads,Flash Sale,7138.11,5573.0,1572.0,0.0,21658.29,2024-03-22,2024-03,28.21,0.0,,3.03
CMP0201,Instagram,New Launch,14114.68,,1630.0,28.0,13176.96,2024-06-19,2024-06,,1.72,504.1,0.93
CMP0202,Facebook Ads,Diwali Offer,9491.18,194238.0,1328.0,93.0,3261.99,2024-03-25,2024-03,0.68,7.0,102.06,0.34
CMP0203,LinkedIn Ads,Brand Awareness,11946.07,134403.0,156.0,129.0,12617.09,2024-01-09,2024-01,0.12,82.69,92.61,1.06
CMP0204,Instagram,New Launch,12392.56,190582.0,1637.0,86.0,23319.12,2024-04-15,2024-04,0.86,5.25,144.1,1.88
CMP0205,Facebook Ads,Brand Awareness,660.42,67706.0,652.0,52.0,8857.07,2024-07-05,2024-07,0.96,7.98,12.7,13.41
CMP0207,Email,Flash Sale,625.65,112549.0,2992.0,81.0,11101.08,2024-05-11,2024-05,2.66,2.71,7.72,17.74
CMP0208,Instagram,Flash Sale,6271.31,68649.0,1748.0,27.0,14864.95,2024-05-28,2024-05,2.55,1.54,232.27,2.37
CMP0210,Instagram,New Launch,8282.18,193956.0,1399.0,150.0,29027.67,2024-04-12,2024-04,0.72,10.72,55.21,3.5
CMP0212,Google Ads,New Launch,10425.33,100852.0,2464.0,23.0,1127.11,2024-01-22,2024-01,2.44,0.93,453.28,0.11
CMP0213,Facebook Ads,Retargeting,8767.0,110200.0,341.0,0.0,32221.74,2024-03-30,2024-03,0.31,0.0,,3.68
CMP0216,Google Ads,Summer Sale,9035.27,183069.0,2746.0,52.0,19851.61,2024-05-03,2024-05,1.5,1.89,173.76,2.2
CMP0220,Facebook Ads,Retargeting,9670.1,23843.0,635.0,75.0,27019.69,2024-01-13,2024-01,2.66,11.81,128.93,2.79
CMP0221,Instagram,Diwali Offer,9150.78,41314.0,1123.0,142.0,573.9,2024-10-05,2024-10,2.72,12.64,64.44,0.06
CMP0222,Instagram,Diwali Offer,5706.4,155085.0,272.0,55.0,26848.39,2024-01-30,2024-01,0.18,20.22,103.75,4.7
CMP0224,Email,Flash Sale,2703.92,7437.0,1240.0,35.0,25795.15,2024-01-02,2024-01,16.67,2.82,77.25,9.54
CMP0226,Email,Flash Sale,10128.84,63019.0,1534.0,3.0,23822.81,2024-02-21,2024-02,2.43,0.2,3376.28,2.35
CMP0227,Instagram,Diwali Offer,13371.6,116530.0,2478.0,26.0,8275.33,2024-05-15,2024-05,2.13,1.05,514.29,0.62
CMP0228,Email,Diwali Offer,4988.41,171453.0,1497.0,150.0,6884.5,2024-02-05,2024-02,0.87,10.02,33.26,1.38
CMP0229,Google Ads,Diwali Offer,932.99,164205.0,1720.0,98.0,32142.89,2024-02-16,2024-02,1.05,5.7,9.52,34.45
CMP0230,Email,Diwali Offer,5635.64,24421.0,970.0,61.0,12175.97,2024-03-17,2024-03,3.97,6.29,92.39,2.16
CMP0231,Google Ads,Brand Awareness,790.89,75003.0,418.0,145.0,28193.74,2024-03-21,2024-03,0.56,34.69,5.45,35.65
CMP0232,Google Ads,Flash Sale,10177.43,162744.0,1578.0,123.0,35321.78,2024-02-27,2024-02,0.97,7.79,82.74,3.47
CMP0233,Facebook Ads,Summer Sale,1056.98,196989.0,495.0,75.0,36959.83,2024-06-09,2024-06,0.25,15.15,14.09,34.97
CMP0234,Email,Summer Sale,2055.3,86666.0,2986.0,87.0,6201.25,2024-01-12,2024-01,3.45,2.91,23.62,3.02
CMP0235,LinkedIn Ads,Diwali Offer,4646.43,75907.0,1398.0,99.0,24993.76,2024-05-16,2024-05,1.84,7.08,46.93,5.38
CMP0237,Facebook Ads,Flash Sale,7638.3,152374.0,2381.0,55.0,5055.63,2024-05-09,2024-05,1.56,2.31,138.88,0.66
CMP0238,LinkedIn Ads,Diwali Offer,8587.43,182649.0,133.0,74.0,0.0,2024-07-01,2024-07,0.07,55.64,116.05,0.0
CMP0239,Google Ads,Brand Awareness,10758.1,87734.0,2745.0,16.0,14265.67,2024-06-03,2024-06,3.13,0.58,672.38,1.33
CMP0240,Facebook Ads,Summer Sale,3600.5,146506.0,2034.0,65.0,35846.88,2024-06-27,2024-06,1.39,3.2,55.39,9.96
CMP0242,Email,Flash Sale,8962.2,50257.0,2457.0,56.0,32571.77,2024-05-01,2024-05,4.89,2.28,160.04,3.63
CMP0244,LinkedIn Ads,Retargeting,10545.6,30033.0,1693.0,0.0,1040.47,2024-06-07,2024-06,5.64,0.0,,0.1
CMP0245,Facebook Ads,Flash Sale,1990.64,179478.0,2588.0,114.0,498.13,2024-08-20,2024-08,1.44,4.4,17.46,0.25
CMP0247,Google Ads,New Launch,4645.86,14399.0,2640.0,138.0,22004.99,2024-06-17,2024-06,18.33,5.23,33.67,4.74
CMP0248,Google Ads,Retargeting,2595.47,94796.0,921.0,56.0,39310.22,2024-02-09,2024-02,0.97,6.08,46.35,15.15
CMP0249,Instagram,Summer Sale,13014.03,53686.0,2647.0,39.0,0.0,2024-01-23,2024-01,4.93,1.47,333.69,0.0
CMP0250,Facebook Ads,Brand Awareness,6503.95,15513.0,261.0,0.0,15707.86,2024-08-05,2024-08,1.68,0.0,,2.42
CMP0253,Instagram,Diwali Offer,7949.34,110481.0,1146.0,142.0,31444.34,2024-07-06,2024-07,1.04,12.39,55.98,3.96
CMP0254,Instagram,Brand Awareness,13402.25,101724.0,870.0,12.0,21466.96,2024-02-22,2024-02,0.86,1.38,1116.85,1.6
CMP0255,Instagram,Summer Sale,8194.67,76595.0,1846.0,119.0,0.0,2024-07-14,2024-07,2.41,6.45,68.86,0.0
CMP0256,Google Ads,New Launch,14073.73,13746.0,2990.0,145.0,12478.62,2024-07-29,2024-07,21.75,4.85,97.06,0.89
CMP0257,Facebook Ads,Summer Sale,6890.94,21204.0,1765.0,0.0,7347.11,2024-08-18,2024-08,8.32,0.0,,1.07
CMP0258,Google Ads,Flash Sale,7856.76,66222.0,102.0,86.0,14241.72,2024-04-09,2024-04,0.15,84.31,91.36,1.81
CMP0260,Google Ads,Flash Sale,7693.82,167124.0,676.0,66.0,0.0,2024-03-11,2024-03,0.4,9.76,116.57,0.0
CMP0261,Instagram,Retargeting,11115.97,9058.0,1331.0,108.0,33700.96,2024-04-08,2024-04,14.69,8.11,102.93,3.03
CMP0262,Google Ads,Retargeting,9788.42,191916.0,1837.0,14.0,24958.81,2024-07-27,2024-07,0.96,0.76,699.17,2.55
CMP0265,Email,Brand Awareness,8345.98,,1600.0,29.0,32844.97,2024-01-29,2024-01,,1.81,287.79,3.94
CMP0266,Email,Retargeting,13452.06,77370.0,1343.0,141.0,38503.15,2024-08-22,2024-08,1.74,10.5,95.4,2.86
CMP0268,Email,Brand Awareness,11347.32,189673.0,757.0,139.0,7983.9,2024-06-16,2024-06,0.4,18.36,81.64,0.7
CMP0269,Email,Flash Sale,13765.29,75622.0,1563.0,90.0,18625.56,2024-06-01,2024-06,2.07,5.76,152.95,1.35
CMP0270,LinkedIn Ads,Retargeting,6706.68,90780.0,1627.0,137.0,31433.1,2024-06-14,2024-06,1.79,8.42,48.95,4.69
CMP0271,LinkedIn Ads,Diwali Offer,6856.45,185850.0,1812.0,77.0,12078.03,2024-08-22,2024-08,0.97,4.25,89.04,1.76
CMP0272,Google Ads,Flash Sale,8606.79,61503.0,1915.0,3.0,0.0,2024-01-02,2024-01,3.11,0.16,2868.93,0.0
CMP0273,Facebook Ads,Brand Awareness,10743.97,175436.0,456.0,121.0,4919.25,2024-02-01,2024-02,0.26,26.54,88.79,0.46
CMP0275,Instagram,New Launch,4693.43,133798.0,1832.0,0.0,10567.43,2024-06-09,2024-06,1.37,0.0,,2.25
CMP0276,LinkedIn Ads,Summer Sale,2260.88,190563.0,1605.0,49.0,4521.55,2024-06-28,2024-06,0.84,3.05,46.14,2.0
CMP0279,Google Ads,Brand Awareness,11315.66,73254.0,2196.0,126.0,3732.29,2024-01-05,2024-01,3.0,5.74,89.81,0.33
CMP0281,LinkedIn Ads,Flash Sale,8494.68,92549.0,1598.0,107.0,0.0,2024-01-22,2024-01,1.73,6.7,79.39,0.0
CMP0282,Instagram,Diwali Offer,1444.81,126219.0,2108.0,112.0,0.0,2024-01-02,2024-01,1.67,5.31,12.9,0.0
CMP0284,Facebook Ads,Summer Sale,9684.35,66824.0,2463.0,61.0,10533.55,2024-02-27,2024-02,3.69,2.48,158.76,1.09
CMP0286,Instagram,Flash Sale,12174.7,6665.0,1017.0,65.0,8750.02,2024-04-05,2024-04,15.26,6.39,187.3,0.72
CMP0287,Google Ads,New Launch,10344.02,61453.0,582.0,30.0,28288.91,2024-04-05,2024-04,0.95,5.15,344.8,2.73
CMP0288,Email,Flash Sale,13163.96,48442.0,21.0,61.0,16530.53,2024-08-12,2024-08,0.04,290.48,215.8,1.26
CMP0289,Facebook Ads,Summer Sale,14210.73,176894.0,1599.0,46.0,38098.99,2024-08-07,2024-08,0.9,2.88,308.93,2.68
CMP0290,Instagram,Diwali Offer,10992.78,169050.0,2856.0,101.0,34080.15,2024-01-07,2024-01,1.69,3.54,108.84,3.1
CMP0292,Facebook Ads,Brand Awareness,11549.65,174731.0,2616.0,2.0,34641.62,2024-08-21,2024-08,1.5,0.08,5774.82,3.0
CMP0293,Email,Brand Awareness,537.19,108535.0,2153.0,83.0,12435.26,2024-07-29,2024-07,1.98,3.86,6.47,23.15
CMP0296,Facebook Ads,Flash Sale,4084.66,189133.0,2239.0,21.0,11215.45,2024-08-16,2024-08,1.18,0.94,194.51,2.75
CMP0298,Email,Brand Awareness,11540.68,121100.0,125.0,125.0,0.0,2024-08-01,2024-08,0.1,100.0,92.33,0.0
CMP0301,Facebook Ads,New Launch,7275.07,48029.0,2333.0,0.0,7201.15,2024-02-28,2024-02,4.86,0.0,,0.99
CMP0302,Facebook Ads,Flash Sale,1939.92,98307.0,230.0,0.0,0.0,2024-02-26,2024-02,0.23,0.0,,0.0
CMP0303,Facebook Ads,Flash Sale,6129.04,134721.0,1429.0,67.0,19156.75,2024-04-18,2024-04,1.06,4.69,91.48,3.13
CMP0307,Email,Summer Sale,10476.32,92563.0,1652.0,12.0,38227.12,2024-01-05,2024-01,1.78,0.73,873.03,3.65
